,Unnamed: 0,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
326,326,327,Home,2015,7+,74/100,1,0,1,0,0,49470
328,328,329,Seeing Allred,2018,16+,74/100,1,0,0,0,0,490818
336,336,337,A Ghost Story,2017,18+,74/100,1,0,0,0,0,428449
337,337,338,Safety Not Guaranteed,2012,18+,74/100,1,0,0,0,0,84332
338,338,339,Game Over,2019,13+,74/100,1,0,0,0,0,27553
339,339,340,Peppermint,2018,18+,74/100,1,0,0,0,0,47961
340,340,341,Have a Good Trip: Adventures in Psychedelics,2020,18+,74/100,1,0,0,0,0,673175
341,341,342,Beasts of No Nation,2015,18+,74/100,1,0,0,0,0,283587
342,342,343,Extinction,2018,18+,74/100,1,0,0,0,0,279988
344,344,345,ARQ,2016,18+,74/100,1,0,0,0,0,410199
345,345,346,Ali's Wedding,2017,18+,74/100,1,0,0,0,0,457258
346,346,347,Bo Burnham: Make Happy,2016,18+,74/100,1,0,0,0,0,400608
347,347,348,Mank,2020,18+,74/100,1,0,0,0,0,614560
348,348,349,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74/100,1,0,0,0,0,457799
350,350,351,Between Two Ferns: The Movie,2019,18+,74/100,1,0,0,0,0,584962
352,352,353,Mirage,2018,18+,74/100,1,0,0,0,0,19661
355,355,356,The Kissing Booth,2018,16+,73/100,1,0,0,0,0,454983
356,356,357,Hush,2016,18+,73/100,1,0,0,0,0,17941
360,360,361,Soni,2019,18+,73/100,1,0,0,0,0,539036
362,362,363,Killing Them Softly,2012,18+,73/100,1,0,0,0,0,64689
364,364,365,Wish Dragon,2021,7+,73/100,1,0,0,0,0,550205
366,366,367,Let It Snow,2019,13+,73/100,1,0,0,0,0,240906
368,368,369,Hardcore Henry,2015,18+,73/100,1,0,0,0,0,325348
369,369,370,Tig Notaro: Happy To Be Here,2018,16+,73/100,1,0,0,0,0,521512
370,370,371,Spelling the Dream,2020,all,73/100,1,0,0,0,0,530973
371,371,372,Knock Down the House,2019,7+,73/100,1,0,0,0,0,565312
373,373,374,Polar,2019,18+,73/100,1,0,0,0,0,70631
374,374,375,Saving Capitalism,2017,7+,73/100,1,0,0,0,0,483010
376,376,377,The Mitchells vs. The Machines,2021,7+,73/100,1,0,0,0,0,501929
377,377,378,Spenser Confidential,2020,18+,73/100,1,0,0,0,0,581600
381,381,382,Self/less,2015,13+,73/100,1,0,0,0,0,238615
382,382,383,The Highwaymen,2019,18+,73/100,1,0,0,0,0,500682
383,383,384,ParaNorman,2012,7+,73/100,1,0,0,0,0,77174
386,386,387,Pee-wee's Big Holiday,2016,7+,73/100,1,0,0,0,0,347689
387,387,388,Gunpowder Milkshake,2021,18+,73/100,1,0,0,0,0,574060
388,388,389,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73/100,1,0,0,0,0,430780
389,389,390,I Am Not Your Negro,2017,18+,73/100,1,1,0,0,0,411019
390,390,391,Midnight Special,2016,13+,73/100,1,0,0,0,0,245703
392,392,393,Homefront,2013,18+,73/100,1,0,0,0,0,204082
395,395,396,No Escape,2015,18+,73/100,1,0,0,0,0,10447
400,400,401,Fractured,2019,18+,73/100,1,0,1,0,0,249109
404,404,405,The Discovery,2017,18+,72/100,1,0,0,0,0,376134
406,406,407,Penguins of Madagascar,2014,7+,72/100,1,0,0,0,0,270946
408,408,409,Voyeur,2017,18+,72/100,1,0,0,0,0,412763
409,409,410,It Comes at Night,2017,18+,72/100,1,0,0,0,0,418078
413,413,414,The BFG,2016,7+,72/100,1,0,0,0,0,15433
415,415,416,The Lorax,2012,7+,72/100,1,1,0,0,0,38060
416,416,417,Win It All,2017,18+,72/100,1,0,0,0,0,397442
417,417,418,Mile 22,2018,18+,72/100,1,0,0,0,0,347375
421,421,422,The Perfect Date,2019,16+,72/100,1,0,0,0,0,543540
425,425,426,American Assassin,2017,18+,72/100,1,0,0,0,0,415842
426,426,427,August: Osage County,2013,18+,72/100,1,0,0,0,0,152737
429,429,430,Free State of Jones,2016,18+,72/100,1,0,0,0,0,316152
431,431,432,Dark Skies,2013,16+,72/100,1,0,0,0,0,145135
432,432,433,Safe Haven,2013,13+,72/100,1,0,0,0,0,112949
434,434,435,Outlaw King,2018,18+,72/100,1,0,0,0,0,454227
435,435,436,Cloudy with a Chance of Meatballs 2,2013,7+,72/100,1,0,0,0,0,109451
436,436,437,Turbo,2013,7+,72/100,1,0,0,0,0,15109
438,438,439,Horns,2013,18+,72/100,1,0,0,0,0,149509
440,440,441,Triple Frontier,2019,18+,72/100,1,0,0,0,0,399361
441,441,442,"Hail, Caesar!",2016,13+,72/100,1,0,0,0,0,270487
442,442,443,The Ice Road,2021,13+,72/100,1,0,0,0,0,646207
444,444,445,Freaks,2019,18+,72/100,1,0,0,0,0,136
446,446,447,Horse Girl,2020,18+,72/100,1,0,0,0,0,635870
447,447,448,A Christmas Prince,2017,7+,72/100,1,0,1,0,0,483104
448,448,449,Hillbilly Elegy,2020,18+,72/100,1,0,0,0,0,592984
449,449,450,American Ultra,2015,18+,72/100,1,0,0,0,0,261392
450,450,451,First Match,2018,18+,72/100,1,0,0,0,0,502122
453,453,454,The Dawn Wall,2017,16+,72/100,1,0,0,0,0,489471
454,454,455,I'm Thinking of Ending Things,2020,18+,71/100,1,0,0,0,0,500840
457,457,458,The Twilight Saga: Breaking Dawn - Part 2,2012,13+,71/100,1,0,0,0,0,50620
462,462,463,Seoul Searching,2015,18+,71/100,1,0,0,0,0,310001
463,463,464,Before I Fall,2017,13+,71/100,1,0,0,0,0,397837
464,464,465,The Babysitter,2017,18+,71/100,1,0,0,0,0,37141
465,465,466,After,2019,13+,71/100,1,0,0,0,0,39172
466,466,467,"As Above, So Below",2014,18+,71/100,1,0,0,0,0,164835
467,467,468,Bo Burnham: What.,2013,18+,71/100,1,0,0,0,0,244001
469,469,470,Velvet Buzzsaw,2019,18+,71/100,1,0,0,0,0,463684
470,470,471,Savages,2012,18+,71/100,1,0,0,0,0,82525
471,471,472,Jupiter Ascending,2015,13+,71/100,1,0,0,0,0,76757
472,472,473,Spectral,2016,13+,71/100,1,0,0,0,0,324670
476,476,477,Iliza Shlesinger: Elder Millennial,2018,18+,71/100,1,0,0,0,0,535340
478,478,479,Free Fire,2017,18+,71/100,1,0,0,0,0,334521
480,480,481,The Zookeeper's Wife,2017,13+,71/100,1,0,0,0,0,289222
481,481,482,Time Share,2018,18+,71/100,1,0,0,0,0,20310
482,482,483,The Outpost,2019,18+,71/100,1,0,0,0,0,531876
484,484,485,Homecoming: A Film by Beyoncé,2019,13+,71/100,1,0,0,0,0,593691
485,485,486,Jerry Seinfeld: 23 Hours to Kill,2020,7+,71/100,1,0,0,0,0,696000
487,487,488,The Laundromat,2019,18+,71/100,1,0,0,0,0,259284
489,489,490,Bad Trip,2020,18+,71/100,1,0,0,0,0,281165
490,490,491,Mr. Peabody & Sherman,2014,7+,71/100,1,0,0,0,0,82703
493,493,494,The Midnight Sky,2020,13+,71/100,1,0,0,0,0,614911
494,494,495,Mr. Right,2016,18+,71/100,1,0,0,0,0,36542
496,496,497,Synchronic,2020,18+,71/100,1,0,0,0,0,549294
497,497,498,Adrift,2018,13+,70/100,1,0,0,0,0,245274
