,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
112,225,The Master,2012,18+,77/100,1,0,0,0,0,68722
113,228,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77/100,1,0,0,0,0,525814
114,232,Enola Holmes,2020,13+,77/100,1,0,0,0,0,497582
115,234,Good Time,2017,18+,77/100,1,0,0,0,0,429200
116,236,Miracle in Cell No. 7,2019,16+,77/100,1,0,0,0,0,638240
117,242,In the Shadow of the Moon,2019,18+,77/100,1,0,0,0,0,14284
118,246,John Leguizamo's Latin History for Morons,2018,7+,76/100,1,0,0,0,0,557606
119,248,The Killing of a Sacred Deer,2017,18+,76/100,1,0,0,0,0,399057
120,251,Bright,2017,18+,76/100,1,0,0,0,0,400106
121,253,Murder Mystery,2019,13+,76/100,1,0,0,0,0,514999
122,258,13th,2016,18+,76/100,1,0,0,0,0,407806
123,259,Ravenous,2017,18+,76/100,1,0,0,0,0,10212
124,264,The Two Popes,2019,13+,76/100,1,0,0,0,0,551332
125,267,Eye for an Eye,2019,18+,76/100,1,0,0,0,0,17182
126,270,Steve Jobs,2015,18+,76/100,1,0,0,0,0,321697
127,271,White Fang,2018,7+,76/100,1,0,0,1,0,12227
128,272,A Monster Calls,2016,13+,76/100,1,0,0,0,0,258230
129,273,Olympus Has Fallen,2013,18+,76/100,1,0,0,0,0,117263
130,279,Miss Sloane,2016,18+,76/100,1,0,0,0,0,376290
131,281,6 Underground,2019,18+,75/100,1,0,0,0,0,509967
132,282,Uncorked,2020,13+,75/100,1,0,0,0,0,254053
133,286,"Bikram: Yogi, Guru, Predator",2019,18+,75/100,1,0,0,0,0,621753
134,287,A Futile and Stupid Gesture,2018,18+,75/100,1,0,0,0,0,391710
135,288,The Dig,2021,13+,75/100,1,0,0,0,0,487287
136,290,Legend,2015,18+,75/100,1,0,0,0,0,11976
137,292,When We First Met,2018,16+,75/100,1,0,0,0,0,433310
138,295,Black Mirror: Bandersnatch,2018,18+,75/100,1,0,0,0,0,569547
139,296,Queen,2013,13+,75/100,1,0,0,0,0,229813
140,297,Joshua: Teenager vs. Superpower,2017,16+,75/100,1,0,0,0,0,433084
141,299,Shot Caller,2017,18+,75/100,1,0,0,0,0,339692
142,301,Angel Has Fallen,2019,18+,75/100,1,0,0,0,0,423204
143,302,Crimson Peak,2015,18+,75/100,1,0,0,0,0,201085
144,304,The Red Sea Diving Resort,2019,18+,75/100,1,0,0,0,0,465003
145,305,The Angel,2018,18+,75/100,1,0,0,0,0,468362
146,306,Army of the Dead,2021,18+,75/100,1,0,0,0,0,28939
147,307,Madagascar 3: Europe's Most Wanted,2012,7+,75/100,1,0,0,0,0,80321
148,308,Icarus,2017,18+,75/100,1,0,0,0,0,35402
149,309,Collateral Beauty,2016,13+,75/100,1,0,0,0,0,345920
150,310,The Danish Girl,2015,18+,75/100,1,0,0,0,0,306819
151,312,John Mulaney: New in Town,2012,18+,75/100,1,0,0,0,0,86705
152,314,The White Tiger,2021,18+,75/100,1,0,0,0,0,628534
153,317,The Death of Stalin,2017,18+,75/100,1,0,0,0,0,402897
154,319,Underworld: Awakening,2012,18+,74/100,1,1,0,0,0,52520
155,320,Philomena,2013,13+,74/100,1,0,0,0,0,205220
156,322,Nappily Ever After,2018,18+,74/100,1,0,0,0,0,519035
157,323,I Care a Lot,2021,18+,74/100,1,0,0,0,0,601666
158,324,The Butler,2013,13+,74/100,1,0,0,0,0,132363
159,327,Home,2015,7+,74/100,1,0,1,0,0,49470
160,329,Seeing Allred,2018,16+,74/100,1,0,0,0,0,490818
161,337,A Ghost Story,2017,18+,74/100,1,0,0,0,0,428449
162,338,Safety Not Guaranteed,2012,18+,74/100,1,0,0,0,0,84332
163,339,Game Over,2019,13+,74/100,1,0,0,0,0,27553
164,340,Peppermint,2018,18+,74/100,1,0,0,0,0,47961
165,341,Have a Good Trip: Adventures in Psychedelics,2020,18+,74/100,1,0,0,0,0,673175
166,342,Beasts of No Nation,2015,18+,74/100,1,0,0,0,0,283587
167,343,Extinction,2018,18+,74/100,1,0,0,0,0,279988
168,345,ARQ,2016,18+,74/100,1,0,0,0,0,410199
169,346,Ali's Wedding,2017,18+,74/100,1,0,0,0,0,457258
170,347,Bo Burnham: Make Happy,2016,18+,74/100,1,0,0,0,0,400608
171,348,Mank,2020,18+,74/100,1,0,0,0,0,614560
172,349,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74/100,1,0,0,0,0,457799
