,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID,Correct ID,Vote Average,Vote Count,Genre,Movie Budget,Movie Revenue,Original Language
107,217,The Disaster Artist,2017,18+,78/100,1,0,0,0,0,371638,371638,7.1,3085,Comedy,10000000,29820616,en
108,218,Fruitvale Station,2013,18+,77/100,1,0,0,0,0,157354,157354,7.395,1041,Drama,900000,17549645,en
109,219,The Florida Project,2017,18+,77/100,1,0,0,0,0,394117,394117,7.41,2240,Drama,2000000,11303040,en
110,220,Behind the Curve,2018,16+,77/100,1,0,0,0,0,520777,520777,6.277,229,Documentary,0,0,en
111,221,Lawless,2012,18+,77/100,1,0,0,0,0,82633,82633,7.039,2621,Crime,26000000,53676580,en
112,225,The Master,2012,18+,77/100,1,0,0,0,0,68722,68722,7.172,2429,Drama,32000000,28258060,en
113,228,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77/100,1,0,0,0,0,525814,525814,6.6,48,Comedy,0,0,en
114,232,Enola Holmes,2020,13+,77/100,1,0,0,0,0,497582,497582,7.342,4503,Mystery,21000000,0,en
115,234,Good Time,2017,18+,77/100,1,0,0,0,0,429200,429200,7.201,2298,Thriller,0,3283369,en
116,236,Miracle in Cell No. 7,2019,16+,77/100,1,0,0,0,0,638240,638240,7.3,22,Drama,0,0,tl
117,242,In the Shadow of the Moon,2019,18+,77/100,1,0,0,0,0,14284,530382,6.16,1103,Science Fiction,0,0,en
118,246,John Leguizamo's Latin History for Morons,2018,7+,76/100,1,0,0,0,0,557606,557606,7.4,24,Comedy,0,0,en
119,248,The Killing of a Sacred Deer,2017,18+,76/100,1,0,0,0,0,399057,399057,7.008,2976,Drama,0,7027336,en
120,251,Bright,2017,18+,76/100,1,0,0,0,0,400106,400106,6.169,4943,Fantasy,90000000,0,en
121,253,Murder Mystery,2019,13+,76/100,1,0,0,0,0,514999,514999,6.238,3334,Comedy,24000000,0,en
122,258,13th,2016,18+,76/100,1,0,0,0,0,407806,407806,8.012,636,Documentary,0,0,en
123,259,Ravenous,2017,18+,76/100,1,0,0,0,0,10212,415010,5.837,316,Horror,3000000,0,fr
124,264,The Two Popes,2019,13+,76/100,1,0,0,0,0,551332,551332,7.535,2437,Drama,0,232638,en
125,267,Eye for an Eye,2019,18+,76/100,1,0,0,0,0,17182,574376,6.669,251,Drama,3328289,2407571,es
126,270,Steve Jobs,2015,18+,76/100,1,0,0,0,0,321697,321697,6.765,3629,Drama,30000000,34441873,en
127,271,White Fang,2018,7+,76/100,1,0,0,1,0,12227,456154,7.3,169,Animation,0,0,fr
128,272,A Monster Calls,2016,13+,76/100,1,0,0,0,0,258230,258230,7.237,2824,Drama,43000000,47309313,en
129,273,Olympus Has Fallen,2013,18+,76/100,1,0,0,0,0,117263,117263,6.4,5763,Action,70000000,161025640,en
130,279,Miss Sloane,2016,18+,76/100,1,0,0,0,0,376290,376290,7.472,1471,Thriller,13000000,9101546,en
131,281,6 Underground,2019,18+,75/100,1,0,0,0,0,509967,509967,6.328,3840,Action,150000000,0,en
132,282,Uncorked,2020,13+,75/100,1,0,0,0,0,254053,660609,6.1,182,Drama,0,0,en
133,286,"Bikram: Yogi, Guru, Predator",2019,18+,75/100,1,0,0,0,0,621753,621753,6.4,86,Documentary,0,0,en
134,287,A Futile and Stupid Gesture,2018,18+,75/100,1,0,0,0,0,391710,391710,6.5,269,Comedy,10000000,0,en
135,288,The Dig,2021,13+,75/100,1,0,0,0,0,487287,532865,6.933,912,Drama,0,0,en
136,290,Legend,2015,18+,75/100,1,0,0,0,0,11976,276907,6.992,3074,Crime,25000000,42972994,en
137,292,When We First Met,2018,16+,75/100,1,0,0,0,0,433310,433310,6.606,2076,Comedy,10000000,0,en
138,295,Black Mirror: Bandersnatch,2018,18+,75/100,1,0,0,0,0,569547,569547,6.803,3365,Science Fiction,0,0,en
139,296,Queen,2013,13+,75/100,1,0,0,0,0,229813,247645,7.431,217,Comedy,1900000,17000000,hi
140,297,Joshua: Teenager vs. Superpower,2017,16+,75/100,1,0,0,0,0,433084,433084,7.2,43,Documentary,0,0,en
141,299,Shot Caller,2017,18+,75/100,1,0,0,0,0,339692,339692,6.924,1686,Crime,0,0,en
